Magnitude,Place,Felt,Date,Google Map Link
5.21,"15km W of Petrolia, CA",1761,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-124.4561667%2C40.3475
4.58,"5km NE of Magna, Utah",3517,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-112.059%2C40.751
6.2,"246km S of Kangin, Indonesia",60,2020-03-18,https://maps.google.com/maps/search/?api=1&query=115.131%2C-11.0591
4.46,"7km NNE of Magna, Utah",1241,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-112.0725%2C40.7651667
3.89,"7km NE of Magna, Utah",513,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-112.0501667%2C40.7555
3.66,"3km NNE of Magna, Utah",663,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-112.0938333%2C40.7526667
5.7,"6km NNE of Magna, Utah",33091,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-112.0783333%2C40.751
5.5,"158km WSW of Lata, Solomon Islands",0,2020-03-17,https://maps.google.com/maps/search/?api=1&query=164.4228%2C-11.0485
6.1,"97km NNW of Sola, Vanuatu",0,2020-03-17,https://maps.google.com/maps/search/?api=1&query=167.068%2C-13.1372
5.4,"142km N of Tobelo, Indonesia",0,2020-03-17,https://maps.google.com/maps/search/?api=1&query=128.0877%2C3.0125
6,"172km E of Hihifo, Tonga",9,2020-03-17,https://maps.google.com/maps/search/?api=1&query=-172.1366%2C-15.9951
5.6,"53km NNW of Tome, Chile",141,2020-03-17,https://maps.google.com/maps/search/?api=1&query=-73.1593%2C-36.162
6.3,"298km NE of Raoul Island, New Zealand",3,2020-03-14,https://maps.google.com/maps/search/?api=1&query=-175.6847%2C-27.4196
5.3,"26km NNW of Nanao, Japan",30,2020-03-12,https://maps.google.com/maps/search/?api=1&query=136.8641%2C37.2698
3.1,"0km SSW of South Glens Falls, New York",2620,2020-03-11,https://maps.google.com/maps/search/?api=1&query=-73.6371%2C43.2925
3.71,"17km NNW of Truckee, CA",969,2020-03-10,https://maps.google.com/maps/search/?api=1&query=-120.2455%2C39.4751667
5.5,"127km SW of Kuripan, Indonesia",2,2020-03-10,https://maps.google.com/maps/search/?api=1&query=102.971%2C-5.8693
5.5,"209km NNW of Puerto Ayora, Ecuador",0,2020-03-10,https://maps.google.com/maps/search/?api=1&query=-90.8586%2C1.0863
4.94,"73km W of Petrolia, CA",407,2020-03-08,https://maps.google.com/maps/search/?api=1&query=-125.1431667%2C40.3648333
5.77,"69km W of Petrolia, CA",2832,2020-03-08,https://maps.google.com/maps/search/?api=1&query=-125.0936667%2C40.3916667
5.2,"30km SSE of Canico, Portugal",161,2020-03-07,https://maps.google.com/maps/search/?api=1&query=-16.6994%2C32.39
5.5,"53km WSW of Port-Vila, Vanuatu",3,2020-03-06,https://maps.google.com/maps/search/?api=1&query=167.8542%2C-17.9138
5.49,"71km SE of Estacion Coahuila, B.C., MX",4798,2020-03-06,https://maps.google.com/maps/search/?api=1&query=-114.5405%2C31.6893333
5.2,"23km ESE of Buenos Aires, Costa Rica",256,2020-03-06,https://maps.google.com/maps/search/?api=1&query=-83.1509%2C9.0672
5.9,Southwest Indian Ridge,0,2020-03-06,https://maps.google.com/maps/search/?api=1&query=58.3249%2C-31.3513
5.4,Southern Mid-Atlantic Ridge,0,2020-03-05,https://maps.google.com/maps/search/?api=1&query=-8.8012%2C-48.8215
5.6,"168km ESE of Raoul Island, New Zealand",0,2020-03-05,https://maps.google.com/maps/search/?api=1&query=-176.2651%2C-29.7716
5.5,"39km S of Tinogasta, Argentina",0,2020-03-04,https://maps.google.com/maps/search/?api=1&query=-67.5044%2C-28.4144
5.7,"53km WSW of Amatignak Island, Alaska",1,2020-03-01,https://maps.google.com/maps/search/?api=1&query=-179.8506%2C51.1334
5.3,"5km NNE of Culasian, Philippines",102,2020-03-01,https://maps.google.com/maps/search/?api=1&query=124.6294%2C11.3555
5.7,"117km ESE of Neiafu, Tonga",0,2020-02-27,https://maps.google.com/maps/search/?api=1&query=-172.9039%2C-18.9008
5.5,"179km S of Sarangani, Philippines",1,2020-02-27,https://maps.google.com/maps/search/?api=1&query=125.7785%2C3.8133
5.9,"48km NNW of Saumlaki, Indonesia",28,2020-02-25,https://maps.google.com/maps/search/?api=1&query=131.1195%2C-7.5625
6,"24km SE of Saray, Turkey",17,2020-02-23,https://maps.google.com/maps/search/?api=1&query=44.3729%2C38.4933
5.8,"26km ESE of Saray, Turkey",15,2020-02-22,https://maps.google.com/maps/search/?api=1&query=44.4465%2C38.5429
5.5,West Chile Rise,0,2020-02-22,https://maps.google.com/maps/search/?api=1&query=-93.7502%2C-38.1463
5.5,"62km SSE of `Ohonua, Tonga",0,2020-02-22,https://maps.google.com/maps/search/?api=1&query=-174.6527%2C-21.8268
3.52,"2km NNW of Castaic, CA",1610,2020-02-21,https://maps.google.com/maps/search/?api=1&query=-118.6345%2C34.5075
5.4,"229km NW of Saumlaki, Indonesia",5,2020-02-20,https://maps.google.com/maps/search/?api=1&query=129.6245%2C-6.7432
5.8,"153km ENE of Petropavlovsk-Kamchatskiy, Russia",3,2020-02-20,https://maps.google.com/maps/search/?api=1&query=160.6787%2C53.6978
